Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.109,,2019-02-25 20:37:34,2019-02-25 20:37:42,8.274s,PASSED
,,,,,,
Test Cases/Day3/Test2,Chrome 72.0.3626.109,,2019-02-25 20:37:34,2019-02-25 20:37:42,7.941s,PASSED
"openBrowser("""")",Chrome 72.0.3626.109,,2019-02-25 20:37:35,2019-02-25 20:37:39,3.828s,PASSED
navigateToUrl(URL),Chrome 72.0.3626.109,,2019-02-25 20:37:39,2019-02-25 20:37:39,0.920s,PASSED
"click(findTestObject(""Page_OrangeHRM/span_Username""))",Chrome 72.0.3626.109,,2019-02-25 20:37:39,2019-02-25 20:37:40,0.170s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), USERNAME)",Chrome 72.0.3626.109,,2019-02-25 20:37:40,2019-02-25 20:37:40,0.162s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), PASSWORD)",Chrome 72.0.3626.109,,2019-02-25 20:37:40,2019-02-25 20:37:40,0.237s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 72.0.3626.109,,2019-02-25 20:37:40,2019-02-25 20:37:41,1.074s,PASSED
"click(findTestObject(""Page_OrangeHRM/b_Admin""))",Chrome 72.0.3626.109,,2019-02-25 20:37:41,2019-02-25 20:37:42,0.503s,PASSED
closeBrowser(),Chrome 72.0.3626.109,,2019-02-25 20:37:42,2019-02-25 20:37:42,0.659s,PASSED
